bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoa responsável pelo domicílio, Sexo feminino, 15 a 29 anos, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 15 a 29 anos, Morador não sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 30 a 59 anos, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 30 a 59 anos, Morador não sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 60 anos ou mais, Morador sabe ler e escrever;Pessoa responsável pelo domicílio, Sexo feminino, 60 anos ou mais, Morador não sabe ler e escrever
Lins de Vasconcelos;62;62;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;688;0;3384;42;2340;52
Méier;63;63;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;435;0;4384;0;5301;0
Todos os Santos;64;64;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;297;0;2646;0;2225;3
Cachambi;65;65;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;671;0;4833;3;3616;10
Engenho de Dentro;66;66;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;795;0;4806;37;3841;130
Água Santa;67;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;134;0;796;0;523;10
Encantado;68;68;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;213;0;1388;3;1101;24
Piedade;69;69;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;772;0;4486;25;3181;65
Abolição;70;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;131;0;1053;0;912;6
Pilares;71;71;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;435;0;2627;29;2070;67
Vila Kosmos;72;72;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;311;0;1614;0;1277;5
Vicente de Carvalho;73;73;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;489;0;2368;38;1432;95
Vila da Penha;74;74;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;246;0;2507;3;2380;6
Vista Alegre;75;75;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;313;0;1905;0;1424;16
Irajá;76;76;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;1273;0;9502;7;7828;99
Colégio;77;77;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;729;0;2971;25;1708;106
Campinho;78;78;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;132;0;935;3;766;13
Quintino Bocaiúva;79;79;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;369;0;2615;0;2206;42
Cavalcanti;80;80;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;274;0;1677;13;882;26
Engenheiro Leal;81;81;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;106;0;498;0;261;24
Cascadura;82;82;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;555;0;3102;14;2074;47
Madureira;83;83;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;807;3;4343;21;3376;82
Vaz Lobo;84;84;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;228;0;1236;3;861;18
Turiaçú;85;85;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;223;0;1315;0;880;36
Rocha Miranda;86;86;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;662;0;3987;19;2960;61
Honório Gurgel;87;87;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;376;0;1983;7;1367;32
Osvaldo Cruz;88;88;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;496;0;3191;0;2822;31
Bento Ribeiro;89;89;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;606;0;3884;0;3364;33
Marechal Hermes;90;90;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;807;3;4319;46;3306;121
Ribeira;91;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;59;0;380;0;339;0
Zumbi;92;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;25;0;168;0;167;0
Cacuia;93;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;169;0;1109;3;781;36
Pitangueiras;94;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;207;0;1162;23;660;67
Praia da Bandeira;95;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;65;0;577;0;406;0
Cocotá;96;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;92;0;562;0;434;0
Bancários;97;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;352;0;1248;17;687;49
Freguesia (Ilha);98;98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;382;0;1695;4;1019;45
Jardim Guanabara;99;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;276;0;2521;0;2179;16
Jardim Carioca;100;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;396;0;2268;17;1471;62
Tauá;101;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;658;0;3157;29;1729;111
Moneró;102;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;86;0;523;0;504;0
Portuguesa;103;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;429;0;2133;15;1717;30
Galeão;104;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;584;0;2397;40;824;82
Cidade Universitária;105;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;23;0;100;0;56;4
Guadalupe;106;106;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;939;0;4780;16;3173;61
Anchieta;107;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1184;0;5873;26;3195;134
Parque Anchieta;108;108;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;314;0;2153;0;1570;49
Ricardo de Albuquerque;109;109;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;549;0;2944;3;1725;72
Coelho Neto;110;110;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;624;0;3188;6;2152;29
Acari;111;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1288;0;3680;112;993;170
Barros Filho;112;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;705;0;2565;41;959;110
Costa Barros;113;113;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;990;0;3094;120;1251;144
Pavuna;114;114;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;2836;9;11130;137;5586;249
Jacarepaguá;115;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;6703;15;22511;734;6480;673
Anil;116;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;525;0;3478;15;1946;43
Gardênia Azul;117;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;831;10;2473;130;779;137
Cidade de Deus;118;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4.1;Área de Planejamento 4;4;1008;0;3692;30;1752;212
Curicica;119;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;716;0;3354;9;1764;51
Freguesia (Jacarepaguá);120;120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1059;3;8261;46;5597;78
Pechincha;121;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;530;0;4547;3;3125;28
Taquara;122;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1947;3;12335;39;8099;125
Tanque;123;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;819;0;4133;34;2591;71
Praça Seca;124;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1395;0;6849;75;4377;157
Vila Valqueire;125;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;450;0;3304;16;2551;30
Joá;126;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;17;0;89;0;64;0
Itanhangá;127;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;2841;10;8733;315;1714;208
Barra da Tijuca;128;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1316;0;14946;0;11889;4
Camorim;129;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;41;0;154;6;35;5
Vargem Pequena;130;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;850;0;3662;93;1134;113
Vargem Grande;131;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;475;0;2473;42;865;77
Recreio dos Bandeirantes;132;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;3694;0;16812;68;7090;71
Grumari;133;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;4;0;21;0;0;0
Deodoro;134;134;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;218;0;1003;3;667;44
Vila Militar;135;135;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;167;0;1189;0;792;25
Campo dos Afonsos;136;136;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;10;0;180;0;15;0
Jardim Sulacap;137;137;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;210;0;1518;0;908;8
Magalhães Bastos;138;138;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;330;0;2233;4;1639;77
Realengo;139;139;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;3504;0;18686;119;11784;480
Padre Miguel;140;140;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;791;0;6250;21;3908;106
Bangu;141;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;4450;0;23204;115;13029;567
Senador Camará;142;142;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;2819;0;12692;165;5764;560
Santíssimo;143;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1077;4;5375;38;2440;112
Campo Grande;144;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;6156;0;37734;171;21410;717
Senador Vasconcelos;145;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;616;0;3289;22;1934;97
